protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
POLG.VP4,POL1M,UniProt,P03300,1,7,0,4,2,2,4,1,4,5,2,1,6,3,4,2,9,5,3,0,4
POLG.VP2,POL1M,UniProt,P03300,1,21,9,10,12,8,18,5,11,5,25,8,20,18,10,13,22,24,14,8,10
POLG.VP3,POL1M,UniProt,P03300,1,15,5,14,10,10,13,5,14,10,23,12,8,18,7,9,21,20,13,3,8
POLG.VP1,POL1M,UniProt,P03300,1,23,2,17,11,12,17,7,12,15,20,5,14,21,9,15,24,32,26,4,16
POLG.2A,POL1M,UniProt,P03300,1,12,6,7,9,5,16,6,8,3,8,4,8,4,7,8,8,6,10,1,13
POLG.P2B,POL1M,UniProt,P03300,1,6,2,4,5,2,5,0,12,7,12,1,4,2,4,2,7,12,5,2,3
POLG.P2C,POL1M,UniProt,P03300,1,22,10,15,20,14,12,8,25,23,25,13,20,15,19,19,27,15,16,4,7
POLG.P3A,POL1M,UniProt,P03300,1,7,2,5,4,2,4,1,7,6,6,2,4,4,7,3,3,6,9,1,4
POLG.VPg,POL1M,UniProt,P03300,1,2,0,0,0,0,2,0,1,3,1,0,2,3,1,1,0,3,2,0,1
POLG.3C,POL1M,UniProt,P03300,1,15,3,8,9,8,18,4,13,9,11,5,9,8,7,9,9,19,13,0,5
POLG.RNA,POL1M,UniProt,P03300,1,31,5,32,30,19,28,12,26,38,46,17,18,22,7,18,30,26,24,7,25
