species,abbrv,bioproject,study,upcan,abundance,logodds,dx,dy,ZC,nH2O
"B. vulgatus",Bvu,PRJNA13378,WCQ+12,FALSE,21.49,NA,-0.01,-0.005,-0.1625,-0.8003
"B. uniformis",Bun,PRJNA18195,WCQ+12,FALSE,21.49,NA,0.007,0,-0.1622,-0.7996
"R. intestinalis",Rin,PRJNA30005,WCQ+12,FALSE,3.59,NA,-0.01,-0.005,-0.1637,-0.7583
"A. indistinctus",Ain,PRJNA46373,WCQ+12,FALSE,1.11,NA,0.002,0,-0.1545,-0.7725
"E. rectale",Ere,PRJNA29071,WCQ+12,FALSE,0.52,NA,-0.007,0,-0.1676,-0.75
"P. excrementihominis",Pex,PRJNA48497,WCQ+12,FALSE,0.44,NA,0,0,-0.1743,-0.7269
"P. gingivalis",Pgi,PRJNA48,WCQ+12,TRUE,1.74,NA,-0.01,-0.005,-0.1613,-0.7683
"E. coli",Eco,PRJNA47121,WCQ+12,TRUE,2.45,NA,0,0,-0.1588,-0.7491
"E. faecalis",Efa,PRJNA57669,WCQ+12,TRUE,2.4,NA,-0.01,-0.005,-0.1887,-0.7337
"S. infantarius",Sin,PRJNA20527,WCQ+12,TRUE,1.19,NA,-0.002,0,-0.1854,-0.7303
"P. stomatis",Pst,PRJNA34073,WCQ+12,TRUE,0.59,NA,0,0,-0.1914,-0.7052
"B. fragilis",Bfr,PRJNA58195,WCQ+12,TRUE,NA,NA,0,0,-0.1685,-0.7903
"B. longum",Blo,PRJNA57939,CTB+14,FALSE,NA,NA,0,0,-0.1226,-0.7404
"F. prausnitzii",Fpr,PRJNA39151,CTB+14,FALSE,NA,NA,0,0,-0.1535,-0.7434
"F. nucleatum",Fnu,PRJNA49043,CTB+14,TRUE,NA,NA,0,0,-0.2242,-0.7062
"P. copri",Pco,PRJNA30025,CTB+14,TRUE,NA,NA,0,0,-0.1619,-0.7884
Coprobacillus,Csp,PRJNA32495,CTB+14,TRUE,NA,NA,0,0,-0.1958,-0.7464
"F. nucleatum subsp. vincentii",Fnv,PRJNA1419,ZTV+14,TRUE,NA,1.39,0,-0.01,-0.2202,-0.7123
"F. nucleatum subsp. animalis",Fna,PRJNA32501,ZTV+14,TRUE,NA,0.66,0,0,-0.2232,-0.7083
"P. stomatis",Pst,PRJNA34073,ZTV+14,TRUE,NA,0.56,-0.004,0,-0.1914,-0.7052
"P. asaccharolytica",Pas,PRJNA51745,ZTV+14,TRUE,NA,0.38,0,-0.01,-0.1559,-0.7547
"C. symbiosum",Csy,PRJNA18183,ZTV+14,TRUE,NA,0.34,0.01,-0.006,-0.1719,-0.7393
"C. hylemonae",Chy,PRJNA30369,ZTV+14,TRUE,NA,0.18,0,0,-0.1676,-0.7341
"L. salivarius",Lsa,PRJNA31503,ZTV+14,TRUE,NA,0.16,0,0,-0.1896,-0.7298
"C. scindens",Csc,PRJNA18175,ZTV+14,FALSE,NA,-0.16,0.008,-0.01,-0.1713,-0.741
"E. eligens",Eel,PRJNA29073,ZTV+14,FALSE,NA,-0.16,-0.008,-0.002,-0.1725,-0.7363
"M. stadtmanae",Mst,PRJNA15579,ZTV+14,FALSE,NA,-0.18,0,0,-0.1832,-0.7028
"P. succinatutens",Psu,PRJNA48505,ZTV+14,FALSE,NA,-0.23,0,0,-0.1811,-0.7188
Ruminococcus,Rsp,PRJNA18179,ZTV+14,FALSE,NA,-0.3,0,-0.01,-0.1733,-0.7467
"S. salivarius",Ssa,PRJNA34091,ZTV+14,FALSE,NA,-0.54,-0.01,-0.005,-0.1751,-0.74
"Acidaminococcus intestini DSM 21505",Ain,PRJNA188796,FLJ+15,TRUE,NA,NA,NA,NA,-0.1749,-0.7285
"Alistipes finegoldii DSM 17242",Afi,PRJNA40775,FLJ+15,TRUE,NA,NA,NA,NA,-0.1427,-0.7847
"Alistipes onderdonkii WAL 8169 = DSM 19147",Aon,PRJNA174975,FLJ+15,TRUE,NA,NA,NA,NA,-0.1398,-0.7934
"Alistipes putredinis DSM 17216",Apu,PRJNA19655,FLJ+15,TRUE,NA,NA,NA,NA,-0.1533,-0.7724
"Bacteroides caccae MR1_13",Bca,PRJNA212635,FLJ+15,TRUE,NA,NA,NA,NA,-0.1683,-0.7914
"Bacteroides dorei DSM 17855",Bdo,PRJNA27831,FLJ+15,TRUE,NA,NA,-0.01,-0.005,-0.1633,-0.8005
"Bacteroides eggerthii DSM 20697",Beg,PRJNA27827,FLJ+15,TRUE,NA,NA,NA,NA,-0.1647,-0.7924
"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223",Bma,PRJNA169707,FLJ+15,TRUE,NA,NA,NA,NA,-0.1657,-0.7873
"Bacteroides ovatus strain:KLE1656",Bov,PRJNA257718,FLJ+15,TRUE,NA,NA,0.01,-0.005,-0.1613,-0.8002
"Bacteroides sp. 1_1_30",B30,PRJNA41955,FLJ+15,TRUE,NA,NA,NA,NA,-0.1614,-0.7975
"Bacteroides sp. 4_1_36",B36,PRJNA39357,FLJ+15,TRUE,NA,NA,NA,NA,-0.1606,-0.7975
"Bacteroides vulgatus ATCC 8482",Bvu,PRJNA13378,FLJ+15,TRUE,NA,NA,NA,NA,-0.1625,-0.8003
"Bacteroides xylanisolvens XB1A",Bxy,PRJNA197168,FLJ+15,TRUE,NA,NA,NA,NA,-0.1625,-0.7973
"Bilophila wadsworthia ATCC 49260",Bwa,PRJNA223063,FLJ+15,TRUE,NA,NA,NA,NA,-0.1586,-0.7368
"Burkholderiales bacterium 1_1_47",Bba,PRJNA41965,FLJ+15,TRUE,NA,NA,NA,NA,-0.1738,-0.728
"butyrate-producing bacterium SS3/4",But,PRJNA197159,FLJ+15,TRUE,NA,NA,0,0,-0.1656,-0.7385
"Clostridium asparagiforme DSM 15981",Cas,PRJNA29263,FLJ+15,TRUE,NA,NA,0,-0.01,-0.1562,-0.7537
"Clostridium bolteae WAL-14578",Cbo,PRJNA46383,FLJ+15,TRUE,NA,NA,NA,NA,-0.1599,-0.7509
"Clostridium hathewayi DSM 13479",Cha,PRJNA30755,FLJ+15,TRUE,NA,NA,NA,NA,-0.1643,-0.7658
"Clostridium symbiosum ATCC 14940",Csy,PRJNA18183,FLJ+15,TRUE,NA,NA,NA,NA,-0.1719,-0.7393
"Dialister invisus DSM 15470",Din,PRJNA33143,FLJ+15,TRUE,NA,NA,NA,NA,-0.1727,-0.7398
"Escherichia coli NC101",Eco,PRJNA47121,FLJ+15,TRUE,NA,NA,NA,NA,-0.1588,-0.7491
"Fusobacterium sp. oral taxon 370 str. F0437",Fsp,PRJNA50399,FLJ+15,TRUE,NA,NA,0,0,-0.2211,-0.7127
"Gemella morbillorum CC57F",Gmo,PRJNA71551,FLJ+15,TRUE,NA,NA,NA,NA,-0.2132,-0.7123
"Lachnospiraceae bacterium 3_1_46FAA",L46,PRJNA40027,FLJ+15,TRUE,NA,NA,NA,NA,-0.1665,-0.7388
"Lachnospiraceae bacterium 3_1_57FAA_CT1",L57,PRJNA39383,FLJ+15,TRUE,NA,NA,0,0,-0.166,-0.7807
"Lachnospiraceae bacterium 7_1_58FAA",L58,PRJNA39397,FLJ+15,TRUE,NA,NA,NA,NA,-0.1416,-0.7557
"Odoribacter splanchnicus DSM 20712",Osp,PRJNA43469,FLJ+15,TRUE,NA,NA,NA,NA,-0.1719,-0.7892
"Parabacteroides distasonis ATCC 8503",Pdi,PRJNA13485,FLJ+15,TRUE,NA,NA,NA,NA,-0.1693,-0.7889
"Parabacteroides merdae ATCC 43184",Pme,PRJNA18193,FLJ+15,TRUE,NA,NA,NA,NA,-0.1683,-0.7898
"Paraprevotella clara YIT 11840",Pcl,PRJNA48501,FLJ+15,TRUE,NA,NA,0,-0.012,-0.1474,-0.8098
"Parvimonas micra ATCC 33270",Pmi,PRJNA18169,FLJ+15,TRUE,NA,NA,NA,NA,-0.2178,-0.7185
"Peptostreptococcus stomatis DSM 17678",Pst,PRJNA34073,FLJ+15,TRUE,NA,NA,0,0,-0.1914,-0.7052
"Porphyromonas somerae DSM 23386",Pso,PRJNA165425,FLJ+15,TRUE,NA,NA,NA,NA,-0.1652,-0.7671
"Prevotella copri DSM 18205",Pco,PRJNA30025,FLJ+15,TRUE,NA,NA,NA,NA,-0.1619,-0.7884
"Ruminococcaceae bacterium D16",Rba,PRJNA42541,FLJ+15,TRUE,NA,NA,0.01,-0.005,-0.1557,-0.7426
"Sutterella wadsworthensis HGA0223",Swa,PRJNA169488,FLJ+15,TRUE,NA,NA,NA,NA,-0.1575,-0.7254
"Veillonella atypica UC1_FAA_A",Vat,PRJNA212673,FLJ+15,TRUE,NA,NA,NA,NA,-0.1724,-0.7348
"Actinomyces viscosus C505",Avi,PRJNA38743,FLJ+15,FALSE,NA,NA,0,0,-0.1168,-0.6981
"Bifidobacterium animalis subsp. lactis AD011",Ban,PRJNA19423,FLJ+15,FALSE,NA,NA,0,0,-0.118,-0.7549
"Clostridium sp. SS2/1",Csp,PRJNA18201,FLJ+15,FALSE,NA,NA,0.002,-0.012,-0.1861,-0.7338
"Ruminococcus sp. 5_1_39BFAA",Rsp,PRJNA32503,FLJ+15,FALSE,NA,NA,0,0,-0.1675,-0.7499
"Streptococcus mutans",Smu,PRJNA13225,FLJ+15,FALSE,NA,NA,-0.004,0,-0.1934,-0.7359
"Streptococcus thermophilus",Sth,PRJNA13799,FLJ+15,FALSE,NA,NA,0,0,-0.1854,-0.732
