"protein","organism","ref","abbrv","chains","Ala","Cys","Asp","Glu","Phe","Gly","His","Ile","Lys","Leu","Met","Asn","Pro","Gln","Arg","Ser","Thr","Val","Trp","Tyr"
"Cas6",ARCFU,O28420,Y1859,1,11,5,9,21,18,26,7,21,17,31,4,8,14,5,22,25,10,18,1,16
"Cas11",ARCFU,O28409,Y1870,1,12,0,7,14,3,7,1,4,14,15,2,2,1,3,5,9,4,8,0,5
"Cas7",ARCFU,O28408,O28408,1,22,3,12,31,21,25,3,14,25,17,7,13,13,4,15,21,17,39,2,15
"Cas5",ARCFU,O28407,O28407,1,18,3,11,23,12,21,1,22,23,22,3,7,14,5,12,21,10,22,5,11
"Cas8a1",ARCFU,O28406,Y1873,1,21,0,17,31,22,19,4,27,35,55,5,18,10,15,18,33,21,18,2,19
"Cas3'",ARCFU,O28405,O28405,1,33,3,33,50,35,26,6,40,47,55,11,23,16,6,31,42,21,41,5,22
"Cas3''",ARCFU,O28404,O28404,1,20,2,7,25,16,13,6,13,25,26,5,12,3,1,16,16,7,14,1,13
"Cas2",ARCFU,O28403,CAS2A,1,5,3,7,6,5,6,1,6,5,10,1,3,2,4,9,6,2,11,0,2
"Cas4",ARCFU,O28402,O28402,1,12,4,7,17,8,13,0,11,21,22,4,2,5,5,15,11,5,15,1,11
"Cas1",ARCFU,O28401,CAS1A,1,30,4,20,25,9,24,5,24,28,45,7,14,7,9,30,18,4,27,2,13
"Cas4",ARCFU,O28400,O28400,1,15,9,11,27,11,12,6,14,14,28,9,15,15,3,17,22,9,24,5,15
"Cas6",CLOK5,A5N0X4,A5N0X4,1,6,4,12,21,12,9,3,26,24,18,6,20,6,6,10,12,15,8,1,17
"Cas8b1",CLOK5,A5N0X3,A5N0X3,1,15,4,37,51,31,22,4,49,79,51,11,53,11,10,19,48,17,27,4,46
"Cas7",CLOK5,A5N0X2,A5N0X2,1,17,2,23,23,17,21,2,25,36,21,5,21,8,10,6,19,20,14,2,17
"Cas5",CLOK5,A5N0X1,A5N0X1,1,11,0,12,22,16,11,6,14,25,22,6,20,6,8,8,10,10,17,3,19
"Cas3",CLOK5,A5N0X0,A5N0X0,1,20,8,57,79,55,27,12,89,92,69,23,86,11,17,31,61,26,39,4,54
"Cas4",CLOK5,A5N0W9,A5N0W9,1,4,5,9,20,3,8,4,19,25,13,3,10,2,6,5,3,5,8,2,10
"Cas1",CLOK5,A5N0W8,A5N0W8,1,11,2,16,23,21,15,10,29,36,27,8,24,10,6,17,20,9,24,2,24
"Cas2",CLOK5,A5N0W7,A5N0W7,1,2,2,5,6,9,3,3,9,13,7,1,11,1,2,2,4,4,7,0,3
"Cas3",HALH5,Q9KFY4,Q9KFY4,1,55,11,43,73,34,40,28,44,54,83,16,37,20,43,36,47,44,53,5,34
"Cas5",HALH5,Q9KFY3,Q9KFY3,1,11,3,14,18,13,24,9,12,13,19,6,8,14,12,12,9,8,15,2,14
"Cas8c",HALH5,Q9KFY2,Q9KFY2,1,48,6,45,53,24,34,14,32,51,55,9,28,23,19,39,42,32,32,12,29
"Cas7",HALH5,Q9KFY1,Q9KFY1,1,18,1,26,16,12,18,7,18,24,17,7,13,9,8,15,29,14,22,3,6
"Cas4",HALH5,Q9KFY0,Q9KFY0,1,7,6,8,14,5,10,5,10,20,12,8,6,8,8,10,11,4,15,0,7
"Cas1",HALH5,Q9KFX9,Q9KFX9,1,26,2,16,24,15,22,5,11,23,44,13,18,11,15,24,16,18,21,5,14
"Cas2",HALH5,Q9KFX8,CAS2,1,3,2,6,6,2,5,1,7,8,12,2,4,2,5,5,8,7,7,0,4
"Cas3",GEOSL,Q74H42,Q74H42,1,93,11,74,63,32,60,22,30,39,99,15,18,55,27,78,54,45,71,16,19
"Cas8u2",GEOSL,Q74H41,Q74H41,1,23,6,20,16,23,19,2,10,18,36,7,8,18,10,21,22,11,13,8,5
"Cas7",GEOSL,Q74H40,Q74H40,1,42,3,26,20,13,30,6,16,23,36,3,18,19,12,23,14,17,31,2,9
"Cas5-Cas6",GEOSL,Q74H39,Q74H39,1,59,4,33,24,15,47,18,32,18,48,12,15,39,16,45,34,17,35,14,14
"Cas4-Cas1",GEOSL,Q74H36,CS4F1,1,48,10,27,40,22,49,14,23,11,56,16,13,35,13,59,31,29,38,6,19
"Cas2",GEOSL,Q74H35,CAS2,1,5,2,5,5,4,4,4,11,5,9,3,4,3,4,9,4,2,8,2,2
"Cas3'",RIPO1,B7JVN0,B7JVN0,1,44,11,31,52,33,36,13,41,41,92,14,32,23,49,45,42,32,35,10,25
"Cas3''-Cas10d",RIPO1,B7JVM9,B7JVM9,1,70,7,53,67,38,44,17,65,58,134,13,40,39,66,46,69,50,44,21,33
"Cas7",RIPO1,B7JVM8,B7JVM8,1,17,6,18,27,17,26,8,22,23,33,8,19,12,18,18,30,29,13,0,12
