Class,Subtype,Organism,"Locus tag",Accession,Legacy,Systematic,Effector,UniProt,Protein,Note
1,I-A,"Archaeoglobus fulgidus",AF1859,,,cas6,FALSE,O28420,Y1859_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1870,,csa5,cas11,TRUE,O28409,Y1870_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1871,,,cas7,TRUE,O28408,O28408_ARCFU,"NCBI: incomplete sequence, no link out; found by interpolating UniProt accessions"
1,I-A,"Archaeoglobus fulgidus",AF1872,,,cas5,TRUE,O28407,O28407_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1873,,,cas8a1,TRUE,O28406,Y1873_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1874,,,cas3',FALSE,O28405,O28405_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1875,,,cas3'',FALSE,O28404,O28404_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1876,,,cas2,FALSE,O28403,CAS2A_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1877,,,cas4,FALSE,O28402,O28402_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1878,,,cas1,FALSE,O28401,CAS1A_ARCFU,
1,I-A,"Archaeoglobus fulgidus",AF1879,,csa1,cas4,FALSE,O28400,O28400_ARCFU,
1,I-B,"Clostridium kluyveri",CKL_2758,,,cas6,FALSE,A5N0X4,A5N0X4_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2757,,csh1,cas8b1,TRUE,A5N0X3,A5N0X3_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2756,,csh2,cas7,TRUE,A5N0X2,A5N0X2_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2755,,,cas5,TRUE,A5N0X1,A5N0X1_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2754,,,cas3,FALSE,A5N0X0,A5N0X0_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2753,,,cas4,FALSE,A5N0W9,A5N0W9_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2752,,,cas1,FALSE,A5N0W8,A5N0W8_CLOK5,
1,I-B,"Clostridium kluyveri",CKL_2751,,,cas2,FALSE,A5N0W7,A5N0W7_CLOK5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0336,,,cas3,FALSE,Q9KFY4,Q9KFY4_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0337,,,cas5,TRUE,Q9KFY3,Q9KFY3_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0338,,,cas8c,TRUE,Q9KFY2,Q9KFY2_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0339,,,cas7,TRUE,Q9KFY1,Q9KFY1_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0340,,,cas4,FALSE,Q9KFY0,Q9KFY0_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0341,,,cas1,FALSE,Q9KFX9,Q9KFX9_HALH5,
1,I-C,"Halalkalibacterium halodurans C-125",BH0342,,,cas2,FALSE,Q9KFX8,CAS2_HALH5,
1,I-G,"Geobacter sulfurreducens",GSU0051,,,cas3,FALSE,Q74H42,Q74H42_GEOSL,
1,I-G,"Geobacter sulfurreducens",GSU0052,,,cas8u2,TRUE,Q74H41,Q74H41_GEOSL,
1,I-G,"Geobacter sulfurreducens",GSU0053,,csb1,cas7,TRUE,Q74H40,Q74H40_GEOSL,
1,I-G,"Geobacter sulfurreducens",GSU0054,,csb2,cas5-cas6,TRUE,Q74H39,Q74H39_GEOSL,
1,I-G,"Geobacter sulfurreducens",GSU0057,,,cas4-cas1,FALSE,Q74H36,CS4F1_GEOSL,
1,I-G,"Geobacter sulfurreducens",GSU0058,,,cas2,FALSE,Q74H35,CAS2_GEOSL,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0527,"WP_015783167, WP_012593878",,cas3',FALSE,B7JVN0,B7JVN0_RIPO1,"RefSeq and UniProt have active records for strain 8801 (not 8802)"
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0526,"WP_015783166, WP_012593877",,cas3''-cas10d,TRUE,B7JVM9,B7JVM9_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0525,"WP_015783165, WP_012593876",csc2,cas7,TRUE,B7JVM8,B7JVM8_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0524,"WP_015783164, WP_012593875",csc1,cas5,TRUE,B7JVM7,B7JVM7_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0523,"WP_015783163, WP_012593874",,cas6,FALSE,B7JVM6,B7JVM6_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0522,"WP_015783162, WP_012593873",,cas4,FALSE,B7JVM5,B7JVM5_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0521,"WP_015783161, WP_012593872",,cas1,FALSE,B7JVM4,B7JVM4_RIPO1,
1,I-D,"Rippkaea orientalis (strain PCC 8801 / RF-1)",Cyan8802_0520,"WP_015783160, WP_012593871",,cas2,FALSE,B7JVM3,B7JVM3_RIPO1,
1,I-E,"Escherichia coli K12",ygcB,,,cas3,FALSE,P38036,CAS3_ECOLI,
1,I-E,"Escherichia coli K12","ygcL (casA)",,cse1,cas8e,TRUE,Q46901,CSE1_ECOLI,
1,I-E,"Escherichia coli K12","ygcK (casB)",,cse2,cas11,TRUE,P76632,CSE2_ECOLI,
1,I-E,"Escherichia coli K12","ygcJ (casC)",,,cas7,TRUE,Q46899,CASC_ECOLI,
